src_name,n_transcripts,from_date,to_date
colchester daily gazette,14218,2012-01-01 00:00:00,2015-02-04 00:00:00
cornish guardian,16969,2010-12-15 00:00:00,2014-03-18 00:00:00
country life,1730,2010-01-04 06:37:00,2012-03-26 06:15:00
county times,417,2010-01-12 00:00:00,2013-06-10 00:00:00
coventry telegraph,6842,2012-01-01 00:00:00,2013-06-27 00:00:00
crawley observer,7371,2010-01-01 06:36:00,2013-06-27 00:00:00
croydon guardian,13676,2010-01-01 04:32:00,2014-08-25 00:00:00
cumberland and westmorland herald,1238,2010-01-04 05:39:00,2013-06-27 00:00:00
cumbrians opposed to a radioactive environment,124,2010-01-21 00:00:00,2014-07-06 00:00:00
daily express,4220,2010-01-01 20:26:00,2013-02-06 00:00:00
daily post,16752,2012-01-01 00:00:00,2015-02-04 00:00:00
daily record,12067,2011-12-31 00:00:00,2012-07-31 00:00:00
darlington and stockton times,12830,2011-12-29 20:20:00,2014-05-23 00:00:00
"defra - department for environment, food and rural affairs",8,2013-06-03 00:00:00,2013-06-14 00:00:00
derby evening telegraph,21616,2011-12-30 00:00:00,2013-08-31 00:00:00
derbyshire times,1455,2012-01-01 00:00:00,2012-07-04 00:00:00
derry journal,2680,2012-01-01 00:00:00,2013-06-22 00:00:00
dewsbury reporter,551,2012-04-03 00:00:00,2012-07-03 00:00:00
disasters emergency committee,23,2010-04-14 00:00:00,2014-11-27 00:00:00
diss mercury,1771,2012-01-01 00:00:00,2014-10-09 00:00:00
doncaster free press,2260,2011-12-30 00:00:00,2012-07-02 00:00:00
donegal news - derry people,224,2012-01-01 00:00:00,2012-04-04 00:00:00
dorset daily echo,7353,2011-12-30 13:45:00,2014-04-02 00:00:00
driffield times and post,1003,2011-12-29 06:30:00,2013-07-01 00:00:00
dromore leader,167,2012-01-12 00:00:00,2013-06-23 00:00:00
dunmow broadcast,1237,2012-04-03 00:00:00,2014-11-11 00:00:00
ealing times,504,2010-03-09 00:00:00,2014-05-23 00:00:00
east lothian courier,2745,2011-07-15 00:00:00,2014-04-02 11:32:28
eastern daily press,20077,2011-12-30 00:00:00,2014-07-08 00:00:00
eastwood advertiser,1254,2011-12-28 15:28:00,2013-06-30 00:00:00
eastwood today,3,2010-01-01 23:02:00,2010-01-01 23:02:00
echo - essex news and sports,8099,2011-10-22 00:00:00,2014-08-25 00:00:00
edgware and mill hill times,3218,2012-01-02 00:00:00,2012-08-31 00:00:00
ely standard,3444,2012-01-02 00:00:00,2014-11-12 00:00:00
english defense league (edl),27,2012-02-10 00:00:00,2012-07-31 00:00:00
english defense league blogspot,190,2010-03-30 00:00:00,2014-07-07 00:00:00
environmental agency uk,981,2011-12-30 00:00:00,2014-03-28 00:00:00
epping forest guardian,462,2012-01-02 06:16:00,2014-05-11 00:00:00
epsom guardian,5439,2010-02-09 00:00:00,2014-05-22 00:00:00
essex chronicle,6514,2012-01-01 00:00:00,2013-12-11 00:00:00
eubusiness,6510,2012-01-01 00:00:00,2014-07-08 00:00:00
evening star (ipswich),10214,2012-01-01 00:00:00,2015-02-04 00:00:00
evening telegraph,135,2012-01-02 11:16:00,2012-02-21 11:24:00
express and star,6866,2012-01-02 00:00:00,2015-02-04 00:00:00
farmer's weekly special reports,2449,2011-12-29 07:23:00,2012-08-30 15:47:00
farmers guardian,5873,2011-03-03 00:00:00,2015-02-04 00:00:00
farmers weekly interactive,5914,2011-12-30 01:18:00,2014-07-04 00:00:00
