OutletID,Outlet,Type,JournalistID,Twitter Handle,Journalist,Website,Owner,Nexis,NexisBeginning,NexisEnd,Newsbank,NewsbankBeginning,NewsbankEnd,Type,Publication,Category,City,Notes
900,City A.M.,Journalist,903,@lynseybarber,Lynsey Barber,http://www.cityam.com/,,,,,,,,,,,,Technology Editor
900,City A.M.,Journalist,904,@MkSands,Mark Sands,http://www.cityam.com/,,,,,,,,,,,,Political Reporter
1000,Channel 4 News,TV,1000,@Channel4News,,http://www.channel4.com/news/,,,,,,,,,,,,
1000,Channel 4 News,Journalist TV,1001,@jonsnowC4,Jon Snow,http://www.channel4.com/news/,,,,,,,,,,,,Presenter
1000,Channel 4 News,Journalist TV,1002,@krishgm,Krishnan Guru-Murthy,http://www.channel4.com/news/,,,,,,,,,,,,Presenter
1000,Channel 4 News,Journalist TV,1003,@cathynewman,Cathy Newman,http://www.channel4.com/news/,,,,,,,,,,,,Presenter
1000,Channel 4 News,Journalist TV,1004,@mattfrei,Matt Frei,http://www.channel4.com/news/,,,,,,,,,,,,Presenter and Europe Editor
1000,Channel 4 News,Journalist TV,1005,@GaryGibbonBlog,Gary Gibbon,http://www.channel4.com/news/,,,,,,,,,,,,Political Editor
1000,Channel 4 News,Journalist TV,1006,@lindseyhilsum,Lindsey Hilsum,http://www.channel4.com/news/,,,,,,,,,,,,International Editor
1000,Channel 4 News,Journalist TV,1007,@JackieLongc4,Jackie Long,http://www.channel4.com/news/,,,,,,,,,,,,Social Affairs Editor
1000,Channel 4 News,Journalist TV,1008,@alextomo,Alex Thomson,http://www.channel4.com/news/,,,,,,,,,,,,Chief Correspondent
1100,"Courier, The",Newspaper,1100,@thecourieruk,,https://www.thecourier.co.uk,,,,,,,,,,,,
1100,"Courier, The",Journalist,1101,@C_SNimmo,Struan Nimmo,https://www.thecourier.co.uk,,,,,,,,,,,,Assistant Editor
1100,"Courier, The",Journalist,1102,@C_ARichardson,Alan Richardson,https://www.thecourier.co.uk,,,,,,,,,,,,News Editor
1100,"Courier, The",Journalist,1103,@C_KAndrews,Kieran Andrews,https://www.thecourier.co.uk,,,,,,,,,,,,Political Editor
1100,"Courier, The",Journalist,1104,@C_RRooney,Richard Rooney,https://www.thecourier.co.uk,,,,,,,,,,,,Online Editor
1100,"Courier, The",Journalist,1105,@C_RMacCallum,Ross MacCallum,https://www.thecourier.co.uk,,,,,,,,,,,,Night Editor
1100,"Courier, The",Journalist,1106,@C_SMorkis,Stefan Morkis,https://www.thecourier.co.uk,,,,,,,,,,,,Lead Reporter
1100,"Courier, The (Dundee)",Newspaper,1107,@courier_dundee,,,,,,,,,,Regional ,,Scotland ,,
1200,"Daily Express, The",Newspaper,1200,@Daily_Express,,http://www.express.co.uk/,Richard Desmond,,,,,,,,,,,
1200,"Daily Express, The",Journalist,1201,,Paul Baldwin,http://www.express.co.uk/,Richard Desmond,,,,,,,,,,,Head of News
1200,"Daily Express, The",Journalist,1202,@jdickenson1990,James Dickenson,http://www.express.co.uk/,Richard Desmond,,,,,,,,,,,Online Sports Editor
1200,"Daily Express, The",Journalist,1203,@Emily_Fox,Emily Fox,http://www.express.co.uk/,Richard Desmond,,,,,,,,,,,Online Editor
1200,"Daily Express, The",Journalist,1204,@JonAustinjourn1,Jon Austin,http://www.express.co.uk/,Richard Desmond,,,,,,,,,,,Science Reporter
1200,"Daily Express, The",Journalist,1205,@DavidPBMaddox,David Maddox,http://www.express.co.uk/,Richard Desmond,,,,,,,,,,,Political Correspondent
1200,"Daily Express, The",Journalist,1206,@kirstymccormack,Kirsty McCormack,http://www.express.co.uk/,Richard Desmond,,,,,,,,,,,Showbiz Reporter
1200,"Daily Express, The",Journalist,1207,,Tom Parfitt,http://www.express.co.uk/,Richard Desmond,,,,,,,,,,,News Reporter
1200,"Daily Express, The",Journalist,1208,@charlesperrin7,Charles Perrin,http://www.express.co.uk/,Richard Desmond,,,,,,,,,,,Sports Reporter
1200,"Daily Express, The",Journalist,1209,@SnellingD,David Snelling,http://www.express.co.uk/,Richard Desmond,,,,,,,,,,,Technology Editor
1200,"Daily Express, The",Journalist,1210,@felicity_journo,Felicity Thistlethwaite,http://www.express.co.uk/,Richard Desmond,,,,,,,,,,,Digital Lifestyle Editor
1300,"Daily Mail, The",Newspaper,1300,@DailyMailUK,,,,1,01/01/92,Current,,,,National Tabloid,Daily,Middle-Market Tabloid,,
1300,"Daily Mail, The",Newspaper,1301,@MailOnline,,http://www.dailymail.co.uk/home/index.html,DMGT,1,01/01/92,Current,,,,National Tabloid,Daily,Middle-Market Tabloid,,
1300,"Daily Mail, The",Journalist,1302,@IsabelOakeshott,Isabel Oakeshott,http://www.dailymail.co.uk/home/index.html,DMGT,,,,,,,,,,,Political Editor at large
1300,"Daily Mail, The",Journalist,1303,@albrummer,Alex Brummer,http://www.dailymail.co.uk/home/index.html,DMGT,,,,,,,,,,,City Editor
1300,"Daily Mail, The",Journalist,1304,@Matt_Lawton_DM,Matt Lawton,http://www.dailymail.co.uk/home/index.html,DMGT,,,,,,,,,,,Chief Sports Writer
