Name,Twitter,hansard_member_id,hansard_member_name,Party,Constituency,2015MP,2010MP
Helen Jones ,@HelenJonesMP ,uk.m.10319,Helen Jones,Labour,Warrington North,1,
Helen Whately ,@Helen_Whately ,.,.,Conservative,Faversham and Mid Kent,1,
Henry Bellingham ,.,uk.m.10726,Henry Bellingham,Conservative,North West Norfolk,1,
Henry Smith ,@HenrySmithMP ,uk.m.24802,Henry Smith,Conservative,Crawley,1,
Hilary Benn ,@hilarybennmp ,uk.m.10669,Hilary Benn,Labour,Leeds Central,1,
Holly Walker-Lynch ,@HollyLynch5 ,.,.,Labour Co-operative,Halifax,1,
Hugh Bayley,.,.,.,,,,1
Hugh Robertson,@HughRobertsonMP,uk.m.11190,Hugh Robertson,,,,1
Hugo Swire ,@HugoSwire ,uk.m.11265,Hugo Swire,Conservative,East Devon,1,
Huw Irranca-Davies ,@huw4ogmore ,uk.m.11347,Huw Irranca-Davies,Labour,Ogmore,1,
Huw Merriman ,@HuwMerriman ,.,.,Conservative,Bexhill and Battle,1,
Hywel Francis,.,uk.m.10900,Hywel Francis,,,,1
Hywel Williams ,@HywelPlaidCymru ,.,.,Plaid Cymru,Arfon,1,
Iain Duncan Smith ,@IDuncanSmithMP,uk.m.10180,Iain Duncan Smith,Conservative,Chingford and Woodford Green,1,
Iain McKenzie,.,uk.m.25145,Iain McKenzie,,,,1
Iain Stewart ,@iainastewart ,uk.m.24947,Iain Stewart,Conservative,Milton Keynes South,1,
Iain Wright ,@IainWrightMP ,uk.m.11362,Iain Wright,Labour,Hartlepool,1,
Ian Austin ,@IanAustinMP ,uk.m.11553,Ian Austin,Labour,Dudley North,1,
Ian Davidson,@iangdavidson,uk.m.10157,Ian Davidson,,,,1
Ian Blackford ,@IBlackfordSNPMP ,.,.,Liberal Democrats,"Ross, Skye and Lochaber",1,
Ian Lavery ,@IanLaveryMP ,uk.m.24963,Ian Lavery,Labour,Wansbeck,1,
Ian Liddell-Grainger ,.,uk.m.11048,Ian Liddell-Grainger,Conservative,Bridgwater and West Somerset,1,
Ian Lucas ,@IanCLucas ,uk.m.11057,Ian Lucas,Labour,Wrexham,1,
Ian Mearns ,@IanMearnsMP ,uk.m.24919,Ian Mearns,Labour,Gateshead,1,
Ian Murray ,@IanMurrayMP ,uk.m.24872,Ian Murray,Labour,Edinburgh South,1,
"Ian Paisley, Jr. ",@ianpaisleymp ,.,.,DUP,North Antrim,1,
Imran Hussain ,@Imran_HussainMP ,.,.,Liberal Democrats,Bradford East,1,
Ivan Lewis ,@IvanLewis_MP ,uk.m.10357,Ivan Lewis,Labour,Bury South,1,
Jack Dromey ,@JackDromeyMP ,uk.m.24825,Jack Dromey,Labour,"Birmingham, Erdington",1,
Jack Lopresti ,@Jackloprestimp ,uk.m.24716,Jack Lopresti,Conservative,Filton and Bradley Stoke,1,
Jack Straw,.,uk.m.10574,Jack Straw,,,,1
Jackie Doyle-Price ,@JackieDP ,uk.m.24957,Jackie Doyle-Price,Conservative,Thurrock,1,
Jacob Rees-Mogg ,@JacobReesMogg,uk.m.24926,Jacob Rees-Mogg,Conservative,North East Somerset,1,
Jake Berry ,@JakeBerry ,uk.m.24860,Jake Berry,Conservative,Rossendale and Darwen,1,
James Arbuthnot,.,uk.m.10013,James Arbuthnot,,,,1
James Berry ,@JamesBerryMP ,.,.,Liberal Democrats,Kingston and Surbiton,1,
James Brokenshire ,@JBrokenshire ,uk.m.11640,James Brokenshire,Conservative,Old Bexley and Sidcup,1,
James Clappison,.,uk.m.10106,James Clappison,,,,1
James Cartlidge ,@jc4southsuffolk ,.,.,Conservative,South Suffolk,1,
James Cleverly ,@JamesCleverly ,.,.,Conservative,Braintree,1,
James Davies ,@jamesdaviesmp ,.,.,Labour,Vale of Clwyd,1,
James Duddridge ,@JamesDuddridge ,uk.m.11785,James Duddridge,Conservative,Rochford and Southend East,1,
James Gray ,@JamesGrayMP ,uk.m.10240,James Gray,Conservative,North Wiltshire,1,
James Heappey ,@JSHeappey ,.,.,Liberal Democrats,Wells,1,
James Morris ,@JamesMorrisHRR ,uk.m.24855,James Morris,Conservative,Halesowen and Rowley Regis,1,
James Paice,.,uk.m.10470,James Paice,,,,1
James Wharton ,@jameswhartonuk ,uk.m.24930,James Wharton,Conservative,Stockton South,1,
Jamie Reed ,@jreedmp ,uk.m.11511,Jamie Reed,Labour,Copeland,1,
Jane Ellison ,@JaneEllison ,uk.m.24719,Jane Ellison,Conservative,Battersea,1,
Jason McCartney ,@JasonMcCartney ,uk.m.24887,Jason McCartney,Conservative,Colne Valley,1,
Jeff Smith ,@JeffSmithetc ,.,.,Liberal Democrats,Manchester Withington,1,
Jenny Chapman,@JennyChapman,uk.m.24711,Jenny Chapman,,,,1
Jeffrey Donaldson ,@J_Donaldson_MP ,.,.,DUP,Lagan Valley,1,
Jenny Chapman ,@JennyChapman ,.,.,Labour,Darlington,1,
Jeremy Corbyn ,@jeremycorbyn ,.,.,Labour,Islington North,1,
Jeremy Hunt ,@Jeremy_Hunt ,uk.m.11859,Jeremy Hunt,Conservative,South West Surrey,1,
Jeremy Lefroy ,@JeremyLefroyMP ,.,.,Conservative,Stafford,1,
Jeremy Quin ,.,.,.,Conservative,Horsham,1,
Jeremy Wright ,.,uk.m.11791,Jeremy Wright,Conservative,Kenilworth and Southam,1,
Jess Phillips ,@jessphillips ,.,.,Liberal Democrats,"Birmingham, Yardley",1,
Jesse Norman ,@Jesse_Norman ,.,.,Conservative,Hereford and South Herefordshire,1,
Jessica Lee,.,uk.m.24757,Jessica Lee,,,,1
Jessica Morden ,@jessicamordenmp ,uk.m.11732,Jessica Morden,Labour,Newport East,1,
Jim Cunningham ,.,uk.m.10147,Jim Cunningham,Labour,Coventry South,1,
Jim Dobbin,.,uk.m.10170,Jim Dobbin,,,,1
Jim Dowd ,.,uk.m.10176,Jim Dowd,Labour,Lewisham West and Penge,1,
Jim Fitzpatrick ,@FitzMP ,uk.m.10199,Jim Fitzpatrick,Labour,Poplar and Limehouse,1,
Jim McGovern,@JMcGovernDundee,uk.m.11974,Jim McGovern,,,,1
Jim Murphy,.,uk.m.10453,Jim Murphy,,,,1
Jim Shannon ,@JimShannonMP,.,.,DUP,Strangford,1,
Jim Sheridan,.,uk.m.11221,Jim Sheridan,,,,1
Jimmy Hood,.,uk.m.10285,Jimmy Hood,,,,1
Jo Churchill ,@Jochurchill4 ,.,.,Conservative,Bury St Edmunds,1,
Jo Cox ,@Jo_Cox1 ,.,.,Labour,Batley and Spen,1,
Jo Johnson ,@JoJohnsonMP ,uk.m.24895,Jo Johnson,Conservative,Orpington,1,
Jo Stevens ,@JoStevensLabour ,.,.,Liberal Democrats,Cardiff Central,1,
Joan Ruddock,.,uk.m.10519,Joan Ruddock,,,,1
Joan Walley,@joanwalley1,uk.m.10619,Joan Walley,,,,1
Joan Ryan ,@joanryanEnfield ,.,.,Conservative,Enfield North,1,
Joanna Cherry ,@joannaccherry ,.,.,Labour,Edinburgh South West,1,
Joe Benton,.,uk.m.10039,Joe Benton,,,,1
John Baron ,.,uk.m.10715,John Baron,Conservative,Basildon and Billericay,1,
John Bercow ,.,.,.,The Speaker seeking re-election,Buckingham,1,
John Cryer ,@JohnCryerMP ,uk.m.10143,John Cryer,Labour,Leyton and Wanstead,1,
John Denham,@JYDenham,uk.m.10167,John Denham,,,,1
John Glen ,@JohnGlenMP ,uk.m.24839,John Glen,Conservative,Salisbury,1,
John Hayes ,.,uk.m.10265,John Hayes,Conservative,South Holland and The Deepings,1,
John Healey ,@JohnHealey_MP ,uk.m.10268,John Healey,Labour,Wentworth and Dearne,1,
John Howell ,@JohnHowellMP ,uk.m.14131,John Howell,Conservative,Henley,1,
John Mann ,@JohnMannMP ,uk.m.11093,John Mann,Labour,Bassetlaw,1,
John McDonnell ,@johnmcdonnellMP ,uk.m.10383,John McDonnell,Labour,Hayes and Harlington,1,
John McNally ,@JohnMcNallyMP ,.,.,Independent[a],Falkirk,1,
John Nicolson ,@MrJohnNicolson ,.,.,Liberal Democrats,East Dunbartonshire,1,
John Penrose ,@JohnPenroseNews ,uk.m.11924,John Penrose,Conservative,Weston-super-Mare,1,
John Pugh ,@johnpughmp ,.,.,Liberal Democrats,Southport,1,
John Randall,@uxbridgewalrus,uk.m.10660,John Randall,,,,1
John Redwood ,@johnredwood ,uk.m.10499,John Redwood,Conservative,Wokingham,1,
John Robertson,@jrobertsonmp,uk.m.10684,John Robertson,,,,1
John Spellar ,@spellar ,uk.m.10558,John Spellar,Labour,Warley,1,
John Stanley,.,uk.m.10563,John Stanley,,,,1
John Stevenson ,@JohnStevensonMP ,uk.m.24799,John Stevenson,Conservative,Carlisle,1,
John Whittingdale ,@JWhittingdale ,uk.m.10632,John Whittingdale,Conservative,Maldon,1,
John Woodcock ,@JWoodcockMP ,uk.m.24837,John Woodcock,Labour Co-operative,Barrow and Furness,1,
Johnny Mercer ,@JohnnyMercerMP ,.,.,Labour,"Plymouth, Moor View",1,
Jon Ashworth ,@JonAshworth ,.,.,Labour Co-operative,Leicester South,1,
Jon Cruddas ,@JonCruddas_1 ,uk.m.10828,Jon Cruddas,Labour,Dagenham and Rainham,1,
Jon Trickett ,@jon_trickett ,uk.m.10604,Jon Trickett,Labour,Hemsworth,1,
Jonathan Ashworth,@JonAshworth,uk.m.25120,Jonathan Ashworth,,,,1
Jonathan Djanogly ,@JDjanogly ,uk.m.10854,Jonathan Djanogly,Conservative,Huntingdon,1,
Jonathan Edwards ,@JonathanPlaid ,.,.,Plaid Cymru,Carmarthen East and Dinefwr,1,
Jonathan Evans,.,uk.m.22650,Jonathan Evans,,,,1
Jonathan Lord ,@JonathanLordMP ,uk.m.24884,Jonathan Lord,Conservative,Woking,1,
Jonathan Reynolds ,@jreynoldsMP ,uk.m.24929,Jonathan Reynolds,Labour Co-operative,Stalybridge and Hyde,1,
Judith Cummins ,@JudithCummins ,.,.,Labour,Bradford South,1,
Julian Brazier ,.,uk.m.10065,Julian Brazier,Conservative,Canterbury,1,
Julian Knight ,@julianknight15 ,.,.,Liberal Democrats,Solihull,1,
Julian Lewis ,.,uk.m.10358,Julian Lewis,Conservative,New Forest East,1,
Julian Smith ,@juliansmithmp ,uk.m.24961,Julian Smith,Conservative,Skipton and Ripon,1,
Julian Sturdy ,@Juliansturdy ,uk.m.24853,Julian Sturdy,Conservative,York Outer,1,
Julie Cooper ,@JulieForBurnley ,.,.,Liberal Democrats,Burnley,1,
Julie Elliott ,@JulieElliottMP ,uk.m.24710,Julie Elliott,Labour,Sunderland Central,1,
Julie Hilling,@JulieHilling,uk.m.24881,Julie Hilling,,,,1
Justin Madders ,@justinmadders ,.,.,Labour,Ellesmere Port and Neston,1,
Justin Tomlinson ,@JTomlinsonMP ,uk.m.24870,Justin Tomlinson,Conservative,North Swindon,1,
Justine Greening ,@JustineGreening ,uk.m.11771,Justine Greening,Conservative,Putney,1,
Karen Bradley ,.,uk.m.24725,Karen Bradley,Conservative,Staffordshire Moorlands,1,
Karen Buck ,@KarenPBuckMP ,uk.m.10075,Karen Buck,Labour,Westminster North,1,
Karen Lumley ,@Tell_Karen ,uk.m.24856,Karen Lumley,Conservative,Redditch,1,
Karin Smyth ,@karinsmyth ,.,.,Labour,Bristol South,1,
Karl McCartney ,@karlmccartney ,uk.m.24790,Karl McCartney,Conservative,Lincoln,1,
Karl Turner ,@KarlTurnerMP ,uk.m.24767,Karl Turner,Labour,Kingston upon Hull East,1,
Kate Green ,@KateGreenSU ,uk.m.24896,Kate Green,Labour,Stretford and Urmston,1,
Kate Hoey ,@KateHoeyMP ,uk.m.10282,Kate Hoey,Labour,Vauxhall,1,
Kate Hollern ,@Kate_HollernMP ,.,.,Independent[a],Blackburn,1,
Kate Osamor ,@KateOsamor ,.,.,Labour Co-operative,Edmonton,1,
Katy Clark,.,uk.m.11963,Katy Clark,,,,1
Keir Starmer ,@Keir_Starmer ,.,.,Labour,Holborn and St Pancras,1,
Keith Simpson ,@KeithSimpsonMP ,uk.m.10542,Keith Simpson,Conservative,Broadland,1,
Keith Vaz ,@Keith4Leicester ,uk.m.10614,Keith Vaz,Labour,Leicester East,1,
Kelly Tolhurst ,@KellyTolhurst ,.,.,UKIP,Rochester and Strood,1,
Kelvin Hopkins ,.,uk.m.10288,Kelvin Hopkins,Labour,Luton North,1,
Kenneth Clarke ,.,uk.m.10115,Kenneth Clarke,Conservative,Rushcliffe,1,
Kerry McCarthy ,@KerryMP ,uk.m.11455,Kerry McCarthy,Labour,Bristol East,1,
Kevan Jones ,@KevanJonesMP,uk.m.11003,Kevan Jones,Labour,North Durham,1,
Kevin Barron ,@KevinBarronMP ,uk.m.10027,Kevin Barron,Labour,Rother Valley,1,
Kevin Brennan ,@KevinBrennanMP ,uk.m.10753,Kevin Brennan,Labour,Cardiff West,1,
Kevin Foster ,@kevin_j_foster ,.,.,Liberal Democrats,Torbay,1,
Kevin Hollinrake ,@kevinhollinrake ,.,.,Conservative,Thirsk and Malton,1,
Khalid Mahmood ,@khalid4PB ,uk.m.11087,Khalid Mahmood,Labour,"Birmingham, Perry Barr",1,
Kirsten Oswald ,@kirstenoswald ,.,.,Labour,East Renfrewshire,1,
Kirsty Blackman ,@KirstySNP ,.,.,Labour,Aberdeen North,1,
Kit Malthouse ,@kitmalthouse ,.,.,Conservative,North West Hampshire,1,
Kris Hopkins ,.,uk.m.24923,Kris Hopkins,Conservative,Keighley,1,
Kwasi Kwarteng ,.,uk.m.24770,Kwasi Kwarteng,Conservative,Spelthorne,1,
Laura Sandys,@Laura_Sandys,uk.m.24792,Laura Sandys,,,,1
Laurence Robertson ,.,uk.m.10505,Laurence Robertson,Conservative,Tewkesbury,1,
Lee Scott,.,uk.m.11651,Lee Scott,,,,1
Liam Byrne ,@LiamByrneMP ,uk.m.11360,Liam Byrne,Labour,"Birmingham, Hodge Hill",1,
Liam Fox ,@LiamFoxMP,uk.m.10213,Liam Fox,Conservative,North Somerset,1,
Lilian Greenwood ,@LilianGreenwood ,uk.m.24774,Lilian Greenwood,Labour,Nottingham South,1,
Linda Riordan,.,uk.m.11607,Linda Riordan,,,,1
Lindsay Hoyle ,@LindsayHoyle_MP ,uk.m.10295,Lindsay Hoyle,Labour,Chorley,1,
Lindsay Roy,.,uk.m.14142,Lindsay Roy,,,,1
Lisa Cameron ,@lisacameronsnp ,.,.,Labour,"East Kilbride, Strathaven and Lesmahagow",1,
Lisa Nandy ,@lisanandy ,uk.m.24831,Lisa Nandy,Labour,Wigan,1,
Liz Kendall ,@leicesterliz ,uk.m.24816,Liz Kendall,Labour,Leicester West,1,
Lorraine Fullbrook,.,uk.m.24801,Lorraine Fullbrook,,,,1
Louise Bagshawe,.,uk.m.24833,Louise Bagshawe,,,,1
Liz McInnes ,@LizMcInnesMP ,.,.,Labour,Heywood and Middleton,1,
Liz Saville-Roberts ,@LSRPlaid ,.,.,Plaid Cymru,Dwyfor Meirionnydd,1,
Louise Ellman ,@LouiseEllman ,uk.m.10186,Louise Ellman,Labour Co-operative,Liverpool Riverside,1,
Louise Haigh ,@LouHaigh ,.,.,Labour Co-operative,Sheffield Heeley,1,
Louise Mensch,@LouiseMensch,uk.m.24833,Louise Mensch,,,,1
Luciana Berger ,@lucianaberger ,uk.m.24924,Luciana Berger,Labour Co-operative,Liverpool Wavertree,1,
Lucy Allan ,@lucyallan ,.,.,Labour,Telford,1,
Lucy Frazer ,.,.,.,Conservative,South East Cambridgeshire,1,
Lucy Powell ,@LucyMPowell ,uk.m.25165,Lucy Powell,Labour Co-operative,Manchester Central,1,
Luke Hall ,@LukeHallMP,.,.,Liberal Democrats,Thornbury and Yate,1,
Lyn Brown ,@lynbrownmp ,uk.m.11921,Lyn Brown,Labour,West Ham,1,
Madeleine Moon ,@MadeleineMoon ,uk.m.11450,Madeleine Moon,Labour,Bridgend,1,
Malcolm Rifkind,@MalcolmRifkind,uk.m.11660,Malcolm Rifkind,,,,1
Maggie Throup ,@mthroup ,.,.,Conservative,Erewash,1,
Malcolm Wicks,@MalcolmWicks,uk.m.10633,Malcolm Wicks,,,,1
Marcus Fysh ,@MarcusFysh ,.,.,Liberal Democrats,Yeovil,1,
Marcus Jones ,@Marcus4Nuneaton ,uk.m.24745,Marcus Jones,Conservative,Nuneaton,1,
Margaret Beckett ,.,uk.m.10031,Margaret Beckett,Labour,Derby South,1,
Margaret Curran,@Margaret_Curran,uk.m.24734,Margaret Curran,,,,1
Margaret Ferrier ,@MargaretFerrier ,.,.,Labour Co-operative,Rutherglen and Hamilton West,1,
Margaret Greenwood ,@MGreenwoodWW ,.,.,Conservative,Wirral West,1,
Margaret Ritchie ,@MRitchieMP ,.,.,SDLP,South Down,1,
"Margaret, Lady Hodge ",@margarethodge ,uk.m.10281,Margaret Hodge,Labour,Barking,1,
Margot James ,@margot_james_mp ,uk.m.24876,Margot James,Conservative,Stourbridge,1,
Maria Caulfield ,@mariacaulfield ,.,.,Liberal Democrats,Lewes,1,
Maria Eagle ,@meaglemp ,uk.m.10183,Maria Eagle,Labour,Garston and Halewood,1,
Maria Miller ,@Maria_MillerMP ,.,.,Conservative,Basingstoke,1,
Marie Rimmer ,@MarieRimmerMP ,.,.,Labour,St Helens South and Whiston,1,
Marion Fellows ,@marion53f ,.,.,Labour,Motherwell and Wishaw,1,
Mark Durkan ,@markdurkan ,.,.,SDLP,Foyle,1,
Mark Field ,@MarkFieldMP ,uk.m.10884,Mark Field,Conservative,Cities of London and Westminster,1,
Mark Francois ,.,uk.m.10901,Mark Francois,Conservative,Rayleigh and Wickford,1,
Mark Garnier ,@Mark4WyreForest ,uk.m.24824,Mark Garnier,Conservative,Wyre Forest,1,
Mark Harper ,@Mark_J_Harper ,uk.m.11588,Mark Harper,Conservative,Forest of Dean,1,
Mark Hendrick ,@MpHendrick ,uk.m.10682,Mark Hendrick,Labour Co-operative,Preston,1,
Mark Hoban,@mark_g_hoban,uk.m.10964,Mark Hoban,,,,1
Mark Lancaster ,@MarkLancasterMK ,uk.m.11715,Mark Lancaster,Conservative,Milton Keynes North,1,
Mark Lazarowicz,.,uk.m.11038,Mark Lazarowicz,,,,1
Mark Menzies ,.,uk.m.24804,Mark Menzies,Conservative,Fylde,1,
Mark Pawsey ,@MarkPawsey ,uk.m.24880,Mark Pawsey,Conservative,Rugby,1,
Mark Prisk ,@PriskMark ,uk.m.11172,Mark Prisk,Conservative,Hertford and Stortford,1,
Mark Pritchard ,@MPritchardMP ,uk.m.11946,Mark Pritchard,Conservative,The Wrekin,1,
Mark Reckless,@MarkReckless,uk.m.24899,Mark Reckless,,,,1
Mark Simmonds,.,uk.m.11224,Mark Simmonds,,,,1
Mark Spencer ,@Mark_Spencer ,uk.m.24909,Mark Spencer,Conservative,Sherwood,1,
Mark Tami ,@MarkTamiMP ,uk.m.11267,Mark Tami,Labour,Alyn and Deeside,1,
Mark Williams ,@mark4ceredigion ,.,.,Liberal Democrats,Ceredigion,1,
Martin Docherty ,@MartinJDocherty ,.,.,Labour Co-operative,West Dunbartonshire,1,
Martin Vickers ,@martinvickersmp ,uk.m.24814,Martin Vickers,Conservative,Cleethorpes,1,
Martin Caton,.,uk.m.10096,Martin Caton,,,,1
Martyn Day ,@MartynDaySNP ,.,.,Labour,Linlithgow and East Falkirk,1,
Mary Creagh ,@MaryCreaghMP ,uk.m.11898,Mary Creagh,Labour,Wakefield,1,
Mary Glindon ,.,uk.m.24927,Mary Glindon,Labour,North Tyneside,1,
Mary Macleod,@MaryMacleod2015,uk.m.24913,Mary Macleod,,,,1
Mary Robinson ,@MaryRobinson01 ,.,.,Liberal Democrats,Cheadle,1,
Matt Warman ,@mattwarman,.,.,Conservative,Boston and Skegness,1,
Matthew Hancock ,@MattHancockMP ,uk.m.24773,Matthew Hancock,Conservative,West Suffolk,1,
Matthew Offord ,@Offord4Hendon ,uk.m.24955,Matthew Offord,Conservative,Hendon,1,
Matthew Pennycook ,@mtpennycook ,.,.,Labour,Greenwich and Woolwich,1,
Meg Hillier ,@Meg_HillierMP ,uk.m.11605,Meg Hillier,Labour Co-operative,Hackney South and Shoreditch,1,
Meg Munn,@MegMunn01,uk.m.11128,Meg Munn,,,,1
Mel Stride ,.,uk.m.24914,Mel Stride,Conservative,Central Devon,1,
Melanie Onn ,@OnnMel ,.,.,Labour,Great Grimsby,1,
Mhairi Black ,@MhairiBlack ,.,.,Labour,Paisley and Renfrewshire South,1,
Michael Connarty,.,uk.m.10128,Michael Connarty,,,,1
Michael Dugher ,@MichaelDugher ,uk.m.24762,Michael Dugher,Labour,Barnsley East,1,
Michael Ellis ,@Michael_Ellis1 ,uk.m.24866,Michael Ellis,Conservative,Northampton North,1,
Michael Fabricant ,@Mike_Fabricant ,uk.m.10193,Michael Fabricant,Conservative,Lichfield,1,
Michael Fallon ,.,uk.m.10194,Michael Fallon,Conservative,Sevenoaks,1,
Michael Gove ,.,uk.m.11858,Michael Gove,Conservative,Surrey Heath,1,
Michael Meacher ,.,uk.m.10427,Michael Meacher,Labour,Oldham West and Royton,1,
Michael McCann,.,uk.m.24717,Michael McCann,,,,1
Michael Penning,.,uk.m.11626,Michael Penning,,,,1
Michael Tomlinson ,@Michael4MDNP ,.,.,Liberal Democrats,Mid Dorset and North Poole,1,
Michelle Donelan ,@michelledonelan ,.,.,Liberal Democrats,Chippenham,1,
Michelle Thomson ,@MichelleThomson ,.,.,Liberal Democrats,Edinburgh West,1,
Mickey Brady ,@MickeyBradySF ,.,.,Sinn Féin,Newry and Armagh,1,
Mike Freer ,@mikefreermp ,uk.m.24934,Mike Freer,Conservative,Finchley and Golders Green,1,
Mike Gapes ,@MikeGapes ,uk.m.10219,Mike Gapes,Labour Co-operative,Ilford South,1,
Mike Kane ,@MikeKaneMP ,.,.,Labour,Wythenshawe and Sale East,1,
Mike Penning ,.,.,.,Conservative,Hemel Hempstead,1,
Mike Weatherley,.,uk.m.24889,Mike Weatherley,,,,1
Mike Weir ,@mikeweirsnp ,.,.,SNP,Angus,1,
Mike Wood ,@mikejwood ,uk.m.10650,Mike Wood,Conservative,Dudley South,1,
Mims Davies ,@mimsdavies ,.,.,Liberal Democrats,Eastleigh,1,
Nadhim Zahawi ,@nadhimzahawi ,uk.m.24822,Nadhim Zahawi,Conservative,Stratford-on-Avon,1,
Nadine Dorries ,@NadineDorriesMP ,uk.m.11397,Nadine Dorries,Conservative,Mid Bedfordshire,1,
Natalie McGarry ,@NatalieMcgarry ,.,.,Labour,Glasgow East,1,
Natascha Engel ,.,uk.m.11534,Natascha Engel,Labour,North East Derbyshire,1,
Naz Shah ,@NazShahBfd,.,.,Respect,Bradford West,1,
Neil Carmichael ,@stroud_neil ,uk.m.24840,Neil Carmichael,Conservative,Stroud,1,
Neil Coyle ,@coyleneil ,.,.,Liberal Democrats,Bermondsey and Old Southwark,1,
Neil Gray ,@NeilGrayMP ,.,.,Labour,Airdrie and Shotts,1,
Neil Parish ,@neil_parish,uk.m.24779,Neil Parish,Conservative,Tiverton and Honiton,1,
Nia Griffith ,@NiaGriffithMP ,uk.m.11692,Nia Griffith,Labour,Llanelli,1,
Nic Dakin ,@NicDakinMP ,uk.m.24798,Nicholas Dakin,Labour,Scunthorpe,1,
Nicholas Boles ,@NickBolesMP ,uk.m.24766,Nicholas Boles,Conservative,Grantham and Stamford,1,
Nicholas Soames ,@nsoamesmp ,uk.m.10555,Nicholas Soames,Conservative,Mid Sussex,1,
Nick Brown ,.,uk.m.10069,Nick Brown,Labour,Newcastle upon Tyne East,1,
Nick de Bois,@nickdebois,uk.m.24859,Nick de Bois,,,,1
Nick Clegg ,@nick_clegg ,.,.,Liberal Democrats,Sheffield Hallam,1,
Nick Gibb ,@NickGibbMP ,uk.m.10225,Nick Gibb,Conservative,Bognor Regis and Littlehampton,1,
Nick Herbert ,@nickherbertmp ,uk.m.11377,Nick Herbert,Conservative,Arundel and South Downs,1,
Nick Hurd ,@nickhurdmp ,uk.m.11792,Nick Hurd,Conservative,"Ruislip, Northwood and Pinner",1,
Nick Raynsford,.,uk.m.10498,Nick Raynsford,,,,1
Nick Smith ,@BlaenauGwentMP ,uk.m.24728,Nick Smith,Labour,Blaenau Gwent,1,
Nick Thomas-Symonds ,@NickTorfaenMP ,.,.,Labour,Torfaen,1,
Nicky Morgan ,@NickyMorgan01 ,uk.m.24732,Nicky Morgan,Conservative,Loughborough,1,
Nicola Blackwood ,@nicolablackwood ,uk.m.24842,Nicola Blackwood,Conservative,Oxford West and Abingdon,1,
Nigel Adams ,.,uk.m.24878,Nigel Adams,Conservative,Selby and Ainsty,1,
Nigel Dodds ,@NigelDoddsDUP ,.,.,DUP,Belfast North,1,
Nigel Evans ,.,uk.m.10190,Nigel Evans,Conservative,Ribble Valley,1,
Nigel Huddleston ,@HuddlestonNigel ,.,.,Conservative,Mid Worcestershire,1,
Nigel Mills ,@NigelMillsMP ,uk.m.24965,Nigel Mills,Conservative,Amber Valley,1,
Norman Lamb ,@normanlamb ,.,.,Liberal Democrats,North Norfolk,1,
Nus Ghani ,@Nus_Ghani,.,.,Conservative,Wealden,1,
Oliver Colvile ,@olivercolvile ,uk.m.24898,Oliver Colvile,Conservative,"Plymouth, Sutton and Devonport",1,
Oliver Dowden ,.,.,.,Conservative,Hertsmere,1,
Oliver Heald ,@OliverHealdMP ,uk.m.10267,Oliver Heald,Conservative,North East Hertfordshire,1,
Oliver Letwin ,@OliverLetwinMP ,uk.m.10355,Oliver Letwin,Conservative,West Dorset,1,
Owen Paterson ,@Owen_PatersonMP ,uk.m.10473,Owen Paterson,Conservative,North Shropshire,1,
Owen Smith ,@OwenSmith_MP ,uk.m.24797,Owen Smith,Labour,Pontypridd,1,
Owen Thompson ,@OwenThompson ,.,.,Labour,Midlothian,1,
Pamela Nash,@pamela_nash,uk.m.24737,Pamela Nash,,,,1
Pat Doherty ,@PatDohertyMP ,.,.,Sinn Féin,West Tyrone,1,
Pat Glass ,@PatGlassMP ,uk.m.24917,Pat Glass,Labour,North West Durham,1,
Pat McFadden ,@patmcfaddenmp ,uk.m.11936,Pat McFadden,Labour,Wolverhampton South East,1,
Patricia Gibson ,@PGibsonSNP ,.,.,Labour,North Ayrshire and Arran,1,
Patrick Grady ,@GradySNP ,.,.,Labour,Glasgow North,1,
Patrick McLoughlin ,@Patrick4Dales ,uk.m.10397,Patrick McLoughlin,Conservative,Derbyshire Dales,1,
Patrick Mercer,.,uk.m.11109,Patrick Mercer,,,,1
Paul Beresford ,@PaulBeresfordMP ,uk.m.10041,Paul Beresford,Conservative,Mole Valley,1,
Paul Blomfield ,@PaulBlomfieldMP ,uk.m.24943,Paul Blomfield,Labour,Sheffield Central,1,
Paul Farrelly ,.,uk.m.10882,Paul Farrelly,Labour,Newcastle-under-Lyme,1,
Paul Flynn ,@PaulFlynnMP ,.,.,Labour,Newport West,1,
Paul Goggins,.,uk.m.10232,Paul Goggins,,,,1
Paul Maskey ,@PaulMaskeyMP ,.,.,Sinn Féin,Belfast West,1,
Paul Maynard ,@PaulMaynardMP ,uk.m.24764,Paul Maynard,Conservative,Blackpool North and Cleveleys,1,
Paul Monaghan ,@_PaulMonaghan ,.,.,Liberal Democrats,"Caithness, Sutherland and Easter Ross",1,
Paul Murphy,.,uk.m.10454,Paul Murphy,,,,1
Paul Scully ,@scullyp ,.,.,Liberal Democrats,Sutton and Cheam,1,
Paul Uppal,@PaulUppalWSW,uk.m.24886,Paul Uppal,,,,1
Paula Sherriff ,@paulasherriff ,.,.,Conservative,Dewsbury,1,
Pauline Latham ,@Pauline_Latham ,uk.m.24821,Pauline Latham,Conservative,Mid Derbyshire,1,
Penny Mordaunt ,@PennyMordauntMP ,uk.m.24938,Penny Mordaunt,Conservative,Portsmouth North,1,
