Name,Twitter,hansard_member_id,hansard_member_name,Party,Constituency,2015MP,2010MP
Anna Soubry ,@Anna_Soubry ,uk.m.24772,Anna Soubry,Conservative,Broxtowe,1,
Anna Turley ,@annaturley ,.,.,Liberal Democrats,Redcar,1,
Anne Begg,@annebegg,uk.m.10032,Anne Begg,,,,1
Anne Main ,.,uk.m.11798,Anne Main,Conservative,St Albans,1,
Anne Marie Morris ,@AMMorrisMP ,uk.m.24912,Anne-Marie Morris,Conservative,Newton Abbot,1,
Ann McKechin,.,uk.m.11076,Ann McKechin,,,,1
Anne McGuire,@AnneMcGuire97,uk.m.10388,Anne McGuire,,,,1
Anne McLaughlin ,@AnneMcLaughlin ,.,.,Labour,Glasgow North East,1,
Anne McIntosh,@AnneCMcIntosh,uk.m.10389,Anne McIntosh,,,,1
Anne Milton ,@AnneMiltonMP ,uk.m.11603,Anne Milton,Conservative,Guildford,1,
Anne-Marie Trevelyan ,@annietrev ,.,.,Liberal Democrats,Berwick-upon-Tweed,1,
Antoinette Sandbach ,@ASandbachMP ,.,.,Conservative,Eddisbury,1,
Austin Mitchell,.,uk.m.10436,Austin Mitchell,,,,1
Barbara Keeley ,@KeeleyMP ,uk.m.11943,Barbara Keeley,Labour,Worsley and Eccles South,1,
Barry Gardiner ,@BarryGardiner ,uk.m.10220,Barry Gardiner,Labour,Brent North,1,
Barry Sheerman ,@BarrySheerman ,uk.m.10534,Barry Sheerman,Labour Co-operative,Huddersfield,1,
Ben Bradshaw ,@BenPBradshaw ,uk.m.10061,Ben Bradshaw,Labour,Exeter,1,
Ben Gummer ,@ben4ipswich ,uk.m.24922,Ben Gummer,Conservative,Ipswich,1,
Ben Howlett ,@ben4bath ,.,.,Liberal Democrats,Bath,1,
Ben Wallace ,@BWallaceMP ,uk.m.11668,Ben Wallace,Conservative,Wyre and Preston North,1,
Bernard Jenkin ,@bernardjenkin ,uk.m.10312,Bernard Jenkin,Conservative,Harwich and North Essex,1,
Bill Cash ,@BillCashMP ,.,.,Conservative,Stone,1,
Bill Esterson ,@Bill_Esterson ,uk.m.24905,Bill Esterson,Labour,Sefton Central,1,
Bill Wiggin ,@BillWigginMP,uk.m.11318,Bill Wiggin,Conservative,North Herefordshire,1,
Bob Ainsworth,.,uk.m.10005,Bob Ainsworth,,,,1
Bob Blackman ,@bobblackmanmp ,uk.m.24945,Bob Blackman,Conservative,Harrow East,1,
Bob Neill ,@neill_bob ,uk.m.13736,Bob Neill,Conservative,Bromley and Chislehurst,1,
Bob Stewart ,.,uk.m.24907,Bob Stewart,Conservative,Beckenham,1,
Boris Johnson ,@BorisJohnson ,.,.,Conservative,Uxbridge and South Ruislip,1,
Brandon Lewis ,@BrandonLewis ,uk.m.24879,Brandon Lewis,Conservative,Great Yarmouth,1,
Brendan O'Hara ,@BrendanOHaraSNP ,.,.,Liberal Democrats,Argyll and Bute,1,
Brian Binley,.,uk.m.11742,Brian Binley,,,,1
Brian H Donohoe,.,uk.m.10173,Brian H Donohoe,,,,
Bridget Phillipson ,@bphillipsonMP ,uk.m.24709,Bridget Phillipson,Labour,Houghton and Sunderland South,1,
Brooks Newmark,.,uk.m.11443,Brooks Newmark,,,,1
Byron Davies ,@Byron_Davies ,.,.,Labour,Gower,1,
Callum McCaig ,@callum_mccaig ,.,.,Labour,Aberdeen South,1,
Calum Kerr ,@CalumKerrSNP ,.,.,Liberal Democrats,"Berwickshire, Roxburgh and Selkirk",1,
Carol Monaghan ,@CMonaghanMP ,.,.,Labour,Glasgow North West,1,
Caroline Ansell ,@Caroline_Ansell ,.,.,Liberal Democrats,Eastbourne,1,
Caroline Dinenage ,@cj_dinenage ,uk.m.24873,Caroline Dinenage,Conservative,Gosport,1,
Caroline Flint ,@CarolineFlintMP ,uk.m.10202,Caroline Flint,Labour,Don Valley,1,
Caroline Lucas ,@CarolineLucas ,.,.,Green Party,Brighton Pavilion,1,
Caroline Nokes ,@carolinenokes ,uk.m.24809,Caroline Nokes,Conservative,Romsey and Southampton North,1,
Caroline Spelman ,@spelmanc ,uk.m.10559,Caroline Spelman,Conservative,Meriden,1,
Carolyn Harris ,@carolynharris24 ,.,.,Labour,Swansea East,1,
Cat Smith ,@CatSmithMP ,.,.,Conservative,Lancaster and Fleetwood,1,
Catherine McKinnell ,@CatMcKinnellMP ,uk.m.24818,Catherine McKinnell,Labour,Newcastle upon Tyne North,1,
Cathy Jamieson,@cathyjamieson,uk.m.24726,Cathy Jamieson,,,,1
Catherine West ,@CatherineWest1 ,.,.,Liberal Democrats,Hornsey and Wood Green,1,
Charles Hendry,@charles_hendry,uk.m.10955,Charles Hendry,,,,1
Charles Walker ,.,uk.m.11461,Charles Walker,Conservative,Broxbourne,1,
Charlie Elphicke ,@CharlieElphicke ,uk.m.24777,Charlie Elphicke,Conservative,Dover,1,
Charlotte Leslie ,@CLeslieMP ,uk.m.24891,Charlotte Leslie,Conservative,Bristol North West,1,
Cheryl Gillan ,@CherylGillanMP ,uk.m.10228,Cheryl Gillan,Conservative,Chesham and Amersham,1,
Chinyelu Onwurah ,@ChiOnwurah ,uk.m.24807,Chi Onwurah,Labour,Newcastle upon Tyne Central,1,
